i_episode: 0,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 50,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 51,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 52,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 53,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 54,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 55,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 56,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 57,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 58,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 59,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 60,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 61,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 62,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 63,	 reward_accu: -1, 	 action_length: 3,	 running times: 2
i_episode: 64,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 65,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 66,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 67,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 68,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 69,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 70,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 71,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 72,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 73,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 74,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 75,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 76,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 77,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 78,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 79,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 80,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 81,	 reward_accu: -1, 	 action_length: 2,	 running times: 2
i_episode: 82,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 83,	 reward_accu: -1, 	 action_length: 12,	 running times: 5
i_episode: 84,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 85,	 reward_accu: 0, 	 action_length: 85,	 running times: 23
i_episode: 86,	 reward_accu: 1, 	 action_length: 43,	 running times: 13
i_episode: 87,	 reward_accu: -1, 	 action_length: 21,	 running times: 7
i_episode: 88,	 reward_accu: 0, 	 action_length: 33,	 running times: 10
i_episode: 89,	 reward_accu: -1, 	 action_length: 35,	 running times: 11
i_episode: 90,	 reward_accu: -1, 	 action_length: 26,	 running times: 8
i_episode: 91,	 reward_accu: -1, 	 action_length: 22,	 running times: 7
i_episode: 92,	 reward_accu: -1, 	 action_length: 27,	 running times: 9
i_episode: 93,	 reward_accu: 0, 	 action_length: 27,	 running times: 9
i_episode: 94,	 reward_accu: -1, 	 action_length: 43,	 running times: 13
i_episode: 95,	 reward_accu: -1, 	 action_length: 51,	 running times: 15
i_episode: 96,	 reward_accu: 0, 	 action_length: 57,	 running times: 16
i_episode: 97,	 reward_accu: 2, 	 action_length: 142,	 running times: 37
i_episode: 98,	 reward_accu: 2, 	 action_length: 51,	 running times: 15
i_episode: 99,	 reward_accu: 0, 	 action_length: 22,	 running times: 7
i_episode: 100,	 reward_accu: 0, 	 action_length: 97,	 running times: 26
i_episode: 101,	 reward_accu: 0, 	 action_length: 20,	 running times: 7
i_episode: 102,	 reward_accu: 0, 	 action_length: 31,	 running times: 10
i_episode: 103,	 reward_accu: 0, 	 action_length: 45,	 running times: 13
i_episode: 104,	 reward_accu: 0, 	 action_length: 34,	 running times: 10
i_episode: 105,	 reward_accu: 0, 	 action_length: 65,	 running times: 18
i_episode: 106,	 reward_accu: 0, 	 action_length: 46,	 running times: 13
i_episode: 107,	 reward_accu: 0, 	 action_length: 69,	 running times: 19
i_episode: 108,	 reward_accu: 3, 	 action_length: 119,	 running times: 32
i_episode: 109,	 reward_accu: 1, 	 action_length: 30,	 running times: 9
i_episode: 110,	 reward_accu: 3, 	 action_length: 75,	 running times: 21
i_episode: 111,	 reward_accu: 1, 	 action_length: 34,	 running times: 10
i_episode: 112,	 reward_accu: 3, 	 action_length: 59,	 running times: 17
i_episode: 113,	 reward_accu: 3, 	 action_length: 63,	 running times: 18
i_episode: 114,	 reward_accu: 7, 	 action_length: 225,	 running times: 58
i_episode: 115,	 reward_accu: 0, 	 action_length: 23,	 running times: 8
i_episode: 116,	 reward_accu: 2, 	 action_length: 43,	 running times: 13
i_episode: 117,	 reward_accu: 5, 	 action_length: 111,	 running times: 30
i_episode: 118,	 reward_accu: 2, 	 action_length: 69,	 running times: 19
i_episode: 119,	 reward_accu: 3, 	 action_length: 81,	 running times: 22
i_episode: 120,	 reward_accu: 6, 	 action_length: 162,	 running times: 42
i_episode: 121,	 reward_accu: 5, 	 action_length: 63,	 running times: 18
i_episode: 122,	 reward_accu: 7, 	 action_length: 227,	 running times: 59
i_episode: 123,	 reward_accu: 0, 	 action_length: 4,	 running times: 3
i_episode: 124,	 reward_accu: 6, 	 action_length: 113,	 running times: 30
i_episode: 125,	 reward_accu: 0, 	 action_length: 39,	 running times: 12
i_episode: 126,	 reward_accu: 0, 	 action_length: 23,	 running times: 8
i_episode: 127,	 reward_accu: 3, 	 action_length: 57,	 running times: 16
i_episode: 128,	 reward_accu: 4, 	 action_length: 75,	 running times: 21
i_episode: 129,	 reward_accu: 12, 	 action_length: 246,	 running times: 63
i_episode: 130,	 reward_accu: 0, 	 action_length: 44,	 running times: 13
i_episode: 131,	 reward_accu: 8, 	 action_length: 128,	 running times: 34
i_episode: 132,	 reward_accu: 4, 	 action_length: 80,	 running times: 22
i_episode: 133,	 reward_accu: 7, 	 action_length: 198,	 running times: 51
i_episode: 134,	 reward_accu: 4, 	 action_length: 82,	 running times: 22
i_episode: 135,	 reward_accu: 3, 	 action_length: 71,	 running times: 20
i_episode: 136,	 reward_accu: 4, 	 action_length: 66,	 running times: 18
i_episode: 137,	 reward_accu: 5, 	 action_length: 104,	 running times: 28
i_episode: 138,	 reward_accu: 25, 	 action_length: 800,	 running times: 202
i_episode: 139,	 reward_accu: 6, 	 action_length: 107,	 running times: 29
i_episode: 140,	 reward_accu: 6, 	 action_length: 134,	 running times: 35
i_episode: 141,	 reward_accu: 3, 	 action_length: 65,	 running times: 18
i_episode: 142,	 reward_accu: 50, 	 action_length: 877,	 running times: 221
i_episode: 143,	 reward_accu: 59, 	 action_length: 750,	 running times: 189
i_episode: 144,	 reward_accu: 2, 	 action_length: 37,	 running times: 11
i_episode: 145,	 reward_accu: -1, 	 action_length: 26,	 running times: 8
i_episode: 146,	 reward_accu: 4, 	 action_length: 73,	 running times: 20
i_episode: 147,	 reward_accu: 11, 	 action_length: 166,	 running times: 43
i_episode: 148,	 reward_accu: 5, 	 action_length: 94,	 running times: 25
i_episode: 149,	 reward_accu: 9, 	 action_length: 83,	 running times: 23
[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 3, 1, 3, 3, 7, 0, 2, 5, 2, 3, 6, 5, 7, 0, 6, 0, 0, 3, 4, 12, 0, 8, 4, 7, 4, 3, 4, 5, 25, 6, 6, 3, 50, 59, 2, -1, 4, 11, 5, 9]
