i_episode: 125,	 reward_accu: 1, 	 action_length: 22,	 running times: 22
i_episode: 126,	 reward_accu: 13, 	 action_length: 94,	 running times: 94
i_episode: 127,	 reward_accu: 7, 	 action_length: 52,	 running times: 52
i_episode: 128,	 reward_accu: 1, 	 action_length: 32,	 running times: 32
i_episode: 129,	 reward_accu: 0, 	 action_length: 12,	 running times: 12
i_episode: 130,	 reward_accu: 12, 	 action_length: 100,	 running times: 100
i_episode: 131,	 reward_accu: 21, 	 action_length: 134,	 running times: 134
i_episode: 132,	 reward_accu: 22, 	 action_length: 176,	 running times: 176
i_episode: 133,	 reward_accu: 0, 	 action_length: 8,	 running times: 8
i_episode: 134,	 reward_accu: 15, 	 action_length: 122,	 running times: 122
i_episode: 135,	 reward_accu: 3, 	 action_length: 24,	 running times: 24
i_episode: 136,	 reward_accu: 21, 	 action_length: 238,	 running times: 238
i_episode: 137,	 reward_accu: 7, 	 action_length: 42,	 running times: 42
i_episode: 138,	 reward_accu: 27, 	 action_length: 174,	 running times: 174
i_episode: 139,	 reward_accu: 27, 	 action_length: 184,	 running times: 184
i_episode: 140,	 reward_accu: 9, 	 action_length: 74,	 running times: 74
i_episode: 141,	 reward_accu: 0, 	 action_length: 14,	 running times: 14
i_episode: 142,	 reward_accu: 7, 	 action_length: 72,	 running times: 72
i_episode: 143,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 144,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 145,	 reward_accu: 27, 	 action_length: 174,	 running times: 174
i_episode: 146,	 reward_accu: 27, 	 action_length: 176,	 running times: 176
i_episode: 147,	 reward_accu: 10, 	 action_length: 72,	 running times: 72
i_episode: 148,	 reward_accu: 19, 	 action_length: 138,	 running times: 138
i_episode: 149,	 reward_accu: 18, 	 action_length: 140,	 running times: 140
i_episode: 150,	 reward_accu: 3, 	 action_length: 36,	 running times: 36
i_episode: 151,	 reward_accu: 27, 	 action_length: 172,	 running times: 172
i_episode: 152,	 reward_accu: 1, 	 action_length: 16,	 running times: 16
i_episode: 153,	 reward_accu: 19, 	 action_length: 133,	 running times: 133
i_episode: 154,	 reward_accu: 0, 	 action_length: 10,	 running times: 10
i_episode: 155,	 reward_accu: 27, 	 action_length: 186,	 running times: 186
i_episode: 156,	 reward_accu: 19, 	 action_length: 126,	 running times: 126
i_episode: 157,	 reward_accu: 7, 	 action_length: 56,	 running times: 56
i_episode: 158,	 reward_accu: 27, 	 action_length: 194,	 running times: 194
i_episode: 159,	 reward_accu: 27, 	 action_length: 176,	 running times: 176
i_episode: 160,	 reward_accu: 10, 	 action_length: 70,	 running times: 70
i_episode: 161,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 162,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 163,	 reward_accu: 27, 	 action_length: 176,	 running times: 176
i_episode: 164,	 reward_accu: 15, 	 action_length: 106,	 running times: 106
i_episode: 165,	 reward_accu: 12, 	 action_length: 74,	 running times: 74
i_episode: 166,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 167,	 reward_accu: 22, 	 action_length: 140,	 running times: 140
i_episode: 168,	 reward_accu: 25, 	 action_length: 180,	 running times: 180
i_episode: 169,	 reward_accu: 10, 	 action_length: 62,	 running times: 62
i_episode: 170,	 reward_accu: 6, 	 action_length: 48,	 running times: 48
i_episode: 171,	 reward_accu: 10, 	 action_length: 76,	 running times: 76
i_episode: 172,	 reward_accu: 1, 	 action_length: 18,	 running times: 18
i_episode: 173,	 reward_accu: 9, 	 action_length: 72,	 running times: 72
i_episode: 174,	 reward_accu: 9, 	 action_length: 54,	 running times: 54
i_episode: 175,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 176,	 reward_accu: 16, 	 action_length: 110,	 running times: 110
i_episode: 177,	 reward_accu: 9, 	 action_length: 58,	 running times: 58
i_episode: 178,	 reward_accu: 12, 	 action_length: 88,	 running times: 88
i_episode: 179,	 reward_accu: 19, 	 action_length: 130,	 running times: 130
i_episode: 180,	 reward_accu: 27, 	 action_length: 170,	 running times: 170
i_episode: 181,	 reward_accu: 27, 	 action_length: 184,	 running times: 184
i_episode: 182,	 reward_accu: 13, 	 action_length: 90,	 running times: 90
i_episode: 183,	 reward_accu: 0, 	 action_length: 8,	 running times: 8
i_episode: 184,	 reward_accu: 10, 	 action_length: 84,	 running times: 84
i_episode: 185,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 186,	 reward_accu: 19, 	 action_length: 128,	 running times: 128
i_episode: 187,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 188,	 reward_accu: 4, 	 action_length: 42,	 running times: 42
i_episode: 189,	 reward_accu: 27, 	 action_length: 172,	 running times: 172
i_episode: 190,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 191,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 192,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 193,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 194,	 reward_accu: 27, 	 action_length: 158,	 running times: 158
i_episode: 195,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 196,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 197,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 198,	 reward_accu: 15, 	 action_length: 86,	 running times: 86
i_episode: 199,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 200,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 201,	 reward_accu: 27, 	 action_length: 158,	 running times: 158
i_episode: 202,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 203,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 204,	 reward_accu: 27, 	 action_length: 152,	 running times: 152
i_episode: 205,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 206,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 207,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 208,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 209,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 210,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 211,	 reward_accu: 27, 	 action_length: 148,	 running times: 148
i_episode: 212,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 213,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 214,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 215,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 216,	 reward_accu: 27, 	 action_length: 180,	 running times: 180
i_episode: 217,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 218,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 219,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 220,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 221,	 reward_accu: 27, 	 action_length: 158,	 running times: 158
i_episode: 222,	 reward_accu: 27, 	 action_length: 150,	 running times: 150
i_episode: 223,	 reward_accu: 27, 	 action_length: 174,	 running times: 174
i_episode: 224,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 225,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 226,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 227,	 reward_accu: 27, 	 action_length: 142,	 running times: 142
i_episode: 228,	 reward_accu: 27, 	 action_length: 150,	 running times: 150
i_episode: 229,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 230,	 reward_accu: 27, 	 action_length: 172,	 running times: 172
i_episode: 231,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 232,	 reward_accu: 27, 	 action_length: 150,	 running times: 150
i_episode: 233,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 234,	 reward_accu: 27, 	 action_length: 146,	 running times: 146
i_episode: 235,	 reward_accu: 27, 	 action_length: 184,	 running times: 184
i_episode: 236,	 reward_accu: 27, 	 action_length: 168,	 running times: 168
i_episode: 237,	 reward_accu: 27, 	 action_length: 176,	 running times: 176
i_episode: 238,	 reward_accu: 27, 	 action_length: 140,	 running times: 140
i_episode: 239,	 reward_accu: 27, 	 action_length: 146,	 running times: 146
i_episode: 240,	 reward_accu: 27, 	 action_length: 180,	 running times: 180
i_episode: 241,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 242,	 reward_accu: 27, 	 action_length: 158,	 running times: 158
i_episode: 243,	 reward_accu: 27, 	 action_length: 204,	 running times: 204
i_episode: 244,	 reward_accu: 27, 	 action_length: 178,	 running times: 178
i_episode: 245,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 246,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 247,	 reward_accu: 27, 	 action_length: 150,	 running times: 150
i_episode: 248,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 249,	 reward_accu: 27, 	 action_length: 158,	 running times: 158
i_episode: 250,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 251,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 252,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 253,	 reward_accu: 27, 	 action_length: 154,	 running times: 154
i_episode: 254,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 255,	 reward_accu: 27, 	 action_length: 156,	 running times: 156
i_episode: 256,	 reward_accu: 27, 	 action_length: 158,	 running times: 158
i_episode: 257,	 reward_accu: 27, 	 action_length: 166,	 running times: 166
i_episode: 258,	 reward_accu: 27, 	 action_length: 162,	 running times: 162
i_episode: 259,	 reward_accu: 27, 	 action_length: 158,	 running times: 158
i_episode: 260,	 reward_accu: 27, 	 action_length: 164,	 running times: 164
i_episode: 261,	 reward_accu: 27, 	 action_length: 158,	 running times: 158
i_episode: 262,	 reward_accu: 27, 	 action_length: 160,	 running times: 160
i_episode: 263,	 reward_accu: 27, 	 action_length: 152,	 running times: 152
